Lebanon,2021-03-31,216286,133294,82992,2021-03-31,422,
Liechtenstein,2021-03-31,6101,4217,1884,2021-03-31,438,
Lithuania,2021-03-31,519614,352060,167554,2021-03-31,440,
Luxembourg,2021-03-31,95657,73152,22505,2021-03-31,442,
Malawi,2021-03-31,134289,134289,0,2021-03-31,454,
Malaysia,2021-03-31,698203,482808,215395,2021-03-31,458,
Maldives,2021-03-31,237716,237716,0,2021-03-31,462,
Mali,2021-03-31,0,0,0,2021-03-31,466,
Malta,2021-03-31,197383,142805,54578,2021-03-31,470,
Mauritania,2021-03-31,0,0,0,2021-03-31,478,
Mexico,2021-03-31,7851053,6905214,945839,2021-03-31,484,
Moldova,2021-03-31,40321,40321,0,2021-03-31,498,
Monaco,2021-03-31,18081,9750,8331,2021-03-31,492,
Mongolia,2021-03-31,300366,300366,0,2021-03-31,496,
Montenegro,2021-03-31,22391,19118,3273,2021-03-31,499,
Morocco,2021-03-31,7994600,4320349,3674251,2021-03-31,504,
Namibia,2021-03-31,1501,1501,0,2021-03-31,516,
Nepal,2021-03-31,1600000,1600000,0,2021-03-31,524,
Netherlands,2021-03-31,2378552,1688490,690062,2021-03-31,528,
New Zealand,2021-03-31,73649,58160,15489,2021-03-31,554,
Nicaragua,2021-03-31,0,0,0,2021-03-31,558,
Nigeria,2021-03-31,718412,718412,0,2021-03-31,566,
North Macedonia,2021-03-31,7735,7735,0,2021-03-31,807,
Norway,2021-03-31,979454,694943,284511,2021-03-31,578,
Oman,2021-03-31,151512,132493,19019,2021-03-31,512,
Pakistan,2021-03-31,800000,800000,0,2021-03-31,586,
Panama,2021-03-31,358277,256704,101577,2021-03-31,591,
Papua New Guinea,2021-03-31,0,0,0,2021-03-31,598,
Paraguay,2021-03-31,48378,46564,1814,2021-03-31,600,
Peru,2021-03-31,1021343,657710,363633,2021-03-31,604,
Philippines,2021-03-31,738913,737569,1344,2021-03-31,608,
Poland,2021-03-31,6270976,4231313,2039663,2021-03-31,616,
Portugal,2021-03-31,1745614,1244821,500793,2021-03-31,620,
